_step,088fkgn4/performance,mykgoimf/performance,3imjf74g/performance,oo9c0qem/performance,ly65cw3v/performance,zpgnwnc9/performance,58kq0iy8/performance,59fyvulg/performance,l5dgfch6/performance,34qcdwss/performance,xt5j3tsv/performance,0n1c67h8/performance,0pztk0hx/performance,h5v2pfi4/performance,wfq8sv9d/performance,qt5m0csx/performance,ggu2lkjn/performance,7av45b2y/performance,yxq0k0km/performance,qz02l75f/performance,vu4l80fw/performance,etyj8887/performance,dj5l9jm3/performance,dd4xmowq/performance,sbkiya3c/performance,cyn4hl4q/performance,8v2ehep7/performance,soz4gaal/performance,9lysum4f/performance,adfg3esn/performance
1523580928.0,0.5671211183071136,0.5747906062752008,0.5566856078803539,0.5809986051172018,0.6037820279598236,0.5593693517148495,0.562644449993968,0.6098079048097134,0.5581170301884413,0.5796264372766018,0.5766578279435635,0.6028109155595303,0.5857602953910828,0.6248448602855206,0.5761676225811243,0.5902783833444118,0.5938079804182053,0.5721120927482843,0.5752136781811714,0.5693166181445122,0.5598577111959457,0.5746735278517008,0.591128908097744,0.5709933564066887,0.594783216714859,0.596603162586689,0.5675921253859997,0.5578791555017233,0.5536112207919359,0.6164761558175087
1526726656.0,0.585133746266365,0.5859792828559875,0.5456925425678492,0.5906073935329914,0.597858116030693,0.549468545243144,0.5941367261111736,0.6151612550020218,0.5503140781074762,0.5743841547518969,0.5735620632767677,0.6054609306156635,0.5787481926381588,0.6158103346824646,0.6037884652614594,0.5891507789492607,0.5677352286875248,0.5742604210972786,0.5841763280332088,0.5692663080990314,0.5746371001005173,0.5769545026123524,0.5990344882011414,0.5928999669849873,0.5889991037547588,0.5789108276367188,0.573273029178381,0.5458915680646896,0.5628059543669224,0.607069194316864
1527775232.0,0.5853071883320808,0.5783608760684729,0.5294584315270185,0.5784281082451344,0.6126430071890354,0.5381657481193542,0.6054688096046448,0.6172628737986088,0.5626396704465151,0.5687442030757666,0.5797947496175766,0.6085344478487968,0.5968601778149605,0.6304338574409485,0.5979930311441422,0.5866163913160563,0.5913902502506971,0.5742765385657549,0.5645948406308889,0.5553987249732018,0.5617791395634413,0.5780592449009418,0.6272604316473007,0.6055701524019241,0.5949002169072628,0.6128449030220509,0.5526040196418762,0.524899784475565,0.5294330269098282,0.6323716714978218
1528823808.0,0.5777282007038593,0.5771933421492577,0.5524793043732643,0.589332390576601,0.5841377377510071,0.5409986339509487,0.5786909721791744,0.6090765856206417,0.5551325678825378,0.5782112032175064,0.5819208323955536,0.611510906368494,0.591566190123558,0.6200482621788979,0.5939117521047592,0.6159647591412067,0.5955181159079075,0.5774837248027325,0.5737107880413532,0.5506865717470646,0.5627611465752125,0.5804287120699883,0.6217157617211342,0.5852856151759624,0.5883311834186316,0.612745363265276,0.5650077033787966,0.5466527920216322,0.5152689721435308,0.6161292307078838
1533018112.0,0.5824985653162003,0.5738252401351929,0.551483990624547,0.5912937261164188,0.5992589220404625,0.5483411122113466,0.5959334261715412,0.6242659315466881,0.5611311718821526,0.5718311350792646,0.5834209844470024,0.6160646788775921,0.588943388313055,0.6223331205546856,0.5943687707185745,0.5936057008802891,0.5774060748517513,0.5854043439030647,0.5775790698826313,0.5473094694316387,0.5738528780639172,0.590854573994875,0.5958371423184872,0.5907178111374378,0.6014017164707184,0.5904410257935524,0.5550946407020092,0.5502498503774405,0.5505171734839678,0.6185973659157753
1540358144.0,0.5791620630770922,0.5861527025699615,0.5576662737876177,0.5949422754347324,0.6238959766924381,0.5635423082858324,0.5844217538833618,0.623703096061945,0.5849574245512486,0.582725290209055,0.5847711060196161,0.6038232110440731,0.5812046267092228,0.6160688102245331,0.5833125859498978,0.5893372148275375,0.5849249102175236,0.5736331399530172,0.5897891707718372,0.5715340413153172,0.5483415070921183,0.5692936759442091,0.6020016260445118,0.6067121811211109,0.5967023707926273,0.596840038895607,0.5723400767892599,0.5405025724321604,0.5362948086112738,0.626827385276556
1561329664.0,0.589458741247654,0.5745939873158932,0.543779669329524,0.5841428674757481,0.6194126047194004,0.5615580156445503,0.6020518410950899,0.6479609049856663,0.6006740592420101,0.5809168852865696,0.5866666547954082,0.6182776317000389,0.577606201171875,0.6299801804125309,0.6062070317566395,0.5975333079695702,0.5744488574564457,0.5825438611209393,0.5939191058278084,0.5664434414356947,0.5721421353518963,0.5802916884422302,0.6291116811335087,0.6016935929656029,0.5972725786268711,0.5976623520255089,0.5660485178232193,0.5484116263687611,0.556716825813055,0.636628869920969
1588592640.0,0.5956405065953732,0.6075587570667267,0.5746061615645885,0.5800856538116932,0.6147683076560497,0.578211784362793,0.6068246886134148,0.6208484545350075,0.5943076908588409,0.5903120376169682,0.5966368541121483,0.6103387176990509,0.6041676755994558,0.6461977511644363,0.624090414494276,0.5955597795546055,0.5898638740181923,0.5895490422844887,0.5902827940881252,0.5746271871030331,0.5948337502777576,0.5866903010755777,0.6211981698870659,0.6174102146178484,0.6082286536693573,0.5980920977890491,0.5832721590995789,0.5282739009708166,0.5463530123233795,0.6041680537164211
1589641216.0,0.6122155375778675,0.6005035415291786,0.5685716904699802,0.6108714789152145,0.6108924895524979,0.5808964148163795,0.6095617637038231,0.6157712489366531,0.6032142639160156,0.5964407399296761,0.5949191823601723,0.6087370477616787,0.5841016434133053,0.6431497260928154,0.6319970153272152,0.6214324571192265,0.6011218279600143,0.5771274268627167,0.6117524318397045,0.5770979709923267,0.5828553140163422,0.5992666706442833,0.641816645860672,0.6082555875182152,0.6130690053105354,0.6121943704783916,0.6128118336200714,0.5338573660701513,0.53728305734694,0.629723995923996
1590689792.0,0.5856936313211918,0.6134775392711163,0.5713402852416039,0.6070933304727077,0.6282645463943481,0.5580599326640368,0.6117355898022652,0.6215430721640587,0.5994182713329792,0.5877573564648628,0.5951775424182415,0.6162779331207275,0.5866740271449089,0.6254022680222988,0.6442029476165771,0.5994798131287098,0.5915766973048449,0.5800477378070354,0.5898310653865337,0.5854204595088959,0.5678689032793045,0.5859538055956364,0.638628501445055,0.6288267262279987,0.5999690406024456,0.6154230646789074,0.5685138255357742,0.5435063298791647,0.5598183125257492,0.6121582314372063
