_step,0ijzjgez/performance,o6h4gxel/performance,mynx3znr/performance,0m3f4hi7/performance,ysa26f2x/performance,2m3hkyj0/performance,35er9m8w/performance,m9rzeoqe/performance,ljjvx7mw/performance,lepdlh5k/performance,l4js5vdt/performance,kfk4rjzi/performance,w46k4y7f/performance,8juwiqli/performance,ht4k8745/performance,v3nkpjva/performance,8pudt8ca/performance,qpa5qjdt/performance,gpt7mijy/performance,qsqgi8rr/performance,u0g2sfwl/performance,b71s6gzq/performance,bccphubb/performance,fryfjlwg/performance,frdji44f/performance,fou2xw16/performance,dxbjmwgn/performance,e99y2yva/performance,fmycqkpu/performance,eq4chqvl/performance
1617952768.0,0.5058296229690313,0.3114843051880598,0.0003844713828584645,0.2864872142672539,0.3576606549322605,0.4599923361092806,0.00038453630440926645,0.0003829120050795609,0.6722773164510727,0.6072046011686325,0.29904207587242126,0.5466196648776531,0.6155480854213238,0.314691124483943,0.6534490883350372,0.0003848202286462765,0.31036291271448135,0.0003847474854410393,0.30108815245330334,0.5913657359778881,0.31496719643473625,0.3374407757073641,0.2808587085455656,0.4872391764074564,0.31481594033539295,0.5724657699465752,0.00038528968434548005,0.5991670563817024,0.4720465801656246,0.6075237393379211
1619001344.0,0.5276731289923191,0.31336166337132454,0.00038505308657477144,0.2885344382375479,0.3476508054882288,0.47784323804080486,0.00038485148070321884,0.0003839503879135009,0.6968499757349491,0.5973208881914616,0.30388774164021015,0.5461413003504276,0.6320690363645554,0.3109742384403944,0.6342987939715385,0.000385477516829269,0.3027286548167467,0.0003855434224533383,0.31186619959771633,0.5955059938132763,0.314345832914114,0.3297953773289919,0.2757199164479971,0.47956383228302,0.3233999963849783,0.5662149898707867,0.0003847515217785258,0.579045295715332,0.4793396610766649,0.6028559729456902
1621098496.0,0.5156913194805384,0.313282860442996,0.00038337956357281655,0.28023592941462994,0.3483732342720032,0.4732744712382555,0.0003834929684671806,0.00038462485099444166,0.6723042018711567,0.6018422059714794,0.30248791724443436,0.5470830425620079,0.6182420924305916,0.3084267023950815,0.6370262280106544,0.0003830977129837265,0.3115446902811527,0.00038513183608301915,0.3113459013402462,0.5929040685296059,0.312147481366992,0.333723708987236,0.2761883530765772,0.4851324800401926,0.31893626414239407,0.5795039795339108,0.0003852295976685127,0.5843913480639458,0.46246569976210594,0.5999399684369564
1622147072.0,0.5118570290505886,0.3108991049230099,0.0003850895336654503,0.28530266880989075,0.35612568631768227,0.4767753705382347,0.00038449567546194885,0.0003843822742055636,0.6884671710431576,0.601329579949379,0.2969099711626768,0.5411756169050932,0.6190140768885612,0.3072899077087641,0.6449233442544937,0.00038343892083503306,0.3140501007437706,0.0003853358884953195,0.3039116133004427,0.5868114829063416,0.31047406792640686,0.34359036572277546,0.2749196011573076,0.4856207240372896,0.317507840692997,0.5741450749337673,0.00038492582461913116,0.6023813188076019,0.4753067549318075,0.6069409623742104
1634729984.0,0.5138074420392513,0.3145395815372467,0.0003845569099212298,0.28298797830939293,0.35270870104432106,0.47842096351087093,0.0003851830661005806,0.0003848761971312342,0.6861315257847309,0.609422143548727,0.3010852746665478,0.5373449698090553,0.6170227788388729,0.31649557687342167,0.6446172036230564,0.0003850639495794894,0.30315394513309,0.00038455938192782924,0.3118037860840559,0.6054407395422459,0.3111700061708689,0.3437651004642248,0.2787141492590308,0.4905985202640295,0.30994729697704315,0.574944406747818,0.0003844383936666418,0.5919110663235188,0.471372889354825,0.6026499755680561
1635778560.0,0.5118672382086515,0.31601669266819954,0.0003840807003143709,0.28426918759942055,0.35874280147254467,0.47179706394672394,0.00038499517177115194,0.00038542070979019627,0.690820898860693,0.6089590676128864,0.3044734839349985,0.5495603773742914,0.6135960221290588,0.3119346685707569,0.6395383477210999,0.00038497712739626877,0.3121230360120535,0.00038483271964651067,0.30465791188180447,0.5979714840650558,0.3129834942519665,0.33096395432949066,0.27695249021053314,0.4946865513920784,0.316201638430357,0.5731473192572594,0.00038322177897498477,0.6011954359710217,0.48005340434610844,0.6185477860271931
1639972864.0,0.5236955992877483,0.31198057159781456,0.0003840124263660982,0.2811747957020998,0.349730895832181,0.47801708057522774,0.00038366227636288386,0.00038456257971120067,0.6753433085978031,0.6094781681895256,0.3000963404774666,0.5438129231333733,0.6035747230052948,0.32162531837821007,0.6332698613405228,0.0003854635688185226,0.31261579506099224,0.0003853703929053154,0.3149570021778345,0.5897639654576778,0.3104361668229103,0.33830949664115906,0.2794772945344448,0.501313216984272,0.3190615475177765,0.558496180921793,0.00038589107134612277,0.5845336765050888,0.4815587215125561,0.6018394604325294
1643118592.0,0.5121202412992716,0.3121646158397198,0.00038578236126340926,0.2858589440584183,0.34570077434182167,0.47756654396653175,0.0003848721717076842,0.0003851601850328734,0.6700102351605892,0.6060242876410484,0.29784296080470085,0.5413054525852203,0.6295927688479424,0.3165192138403654,0.6373424455523491,0.0003855883751384681,0.3061405271291733,0.0003837006770481821,0.31684644520282745,0.6020273640751839,0.31641378439962864,0.33837010711431503,0.2772616632282734,0.4909504521638155,0.321487495675683,0.5884074047207832,0.0003843826380034443,0.6017804592847824,0.4931719806045294,0.6130238212645054
1647312896.0,0.5115870554000139,0.3182208891957998,0.00038506627060996834,0.2832162044942379,0.35725580528378487,0.47307514026761055,0.0003845907504000934,0.00038462300108221825,0.6769642643630505,0.6229311190545559,0.29906794987618923,0.5496289543807507,0.622050803154707,0.30992641299963,0.6341143995523453,0.00038506858982145786,0.3075554296374321,0.00038427812251029536,0.31012480333447456,0.6042825765907764,0.31993919610977173,0.33662960678339005,0.2781527303159237,0.4855703692883253,0.3281260300427675,0.5855628997087479,0.00038469840183097403,0.5926945470273495,0.48639506474137306,0.6129230670630932
1648361472.0,0.5164806954562664,0.30508900061249733,0.0003841189518425381,0.28148617409169674,0.35609105974435806,0.4780706148594618,0.00038482634590764064,0.00038197385947569273,0.6969406567513943,0.608097106218338,0.303805323317647,0.5362148210406303,0.6223227418959141,0.3133452348411083,0.6384211592376232,0.0003847461393888807,0.31232972629368305,0.00038405876512115356,0.3067387957125902,0.6004611626267433,0.3214926216751337,0.34299672953784466,0.2818385809659958,0.4956490732729435,0.32765660248696804,0.5766849741339684,0.00038477920315926895,0.5929513275623322,0.49200110509991646,0.6168855577707291
1653604352.0,0.5355394892394543,0.315816305577755,0.00038585582115047146,0.28838254883885384,0.3545635975897312,0.48190291970968246,0.00038455723188235424,0.00038580194450332783,0.6710959523916245,0.6061958968639374,0.30745865032076836,0.5437434203922749,0.6250359416007996,0.30727784521877766,0.6492757648229599,0.0003846211875497829,0.3111674264073372,0.00038532414509973023,0.3111561071127653,0.5986638553440571,0.31712511740624905,0.35264332219958305,0.284142317250371,0.49113740772008896,0.3205177318304777,0.5795745812356472,0.00038422580109909177,0.5976695790886879,0.4827242288738489,0.6234798803925514
